Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Live_mass,Body_length,Body_width
ID1_0086,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:08:30.511,2023-08-26 12:08:36.243,00:00:05.732000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0087,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:08:37.648,2023-08-26 12:08:44.723,00:00:07.075000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0088,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:08:46.138,2023-08-26 12:10:26.116,00:01:39.978000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0089,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:10:28.963,2023-08-26 12:10:37.562,00:00:08.599000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0091,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 12:16:06.588,2023-08-26 12:16:22.263,00:00:15.675000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0092,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 13:03:55.104,2023-08-26 13:05:02.223,00:01:07.119000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0094,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 13:15:20.272,2023-08-26 13:15:30.201,00:00:09.929000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0095,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 13:23:34.503,2023-08-26 13:23:53.047,00:00:18.544000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Sphaerophoria,#N/C,12.29572580645161,7.508467741935483,2.1483064516129025
ID1_0096,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 13:28:17.030,2023-08-26 13:28:22.652,00:00:05.622000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
ID1_0097,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:02:50.134,2023-08-26 14:03:08.744,00:00:18.610000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0098,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:13:37.077,2023-08-26 14:18:02.793,00:04:25.716000,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,8.696344827586204,5.522551724137931,1.7546666666666675
ID1_0099,ID,ID1,Site1,Maize,IDxMaize,2023-08-26 14:25:04.001,2023-08-26 14:25:06.833,00:00:02.832000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,8.4004979253112,5.45134854771784,1.7163070539419094
